"codigo";"nome";"departamento_id"
313;"FUNDAMENTOS DE MICROBIOLOGIA MÉDICA";11
314;"IMUNOLOGIA";11
315;"IMUNOLOGIA APLICADA";11
316;"IMUNOLOGIA GERAL";11
317;"INSTRUMENTAÇÃO CIENTÍFICA EM BIOLOGIA";11
318;"INTRODUÇÃO A BIOTECNOLOGIA";11
319;"LEGISLAÇÃO, PATENTES E PROPRIEDADE INTELECTUAL";11
320;"METABOLISMO E REGULAÇÃO METABÓLICA";11
321;"MICROBIOLOGIA";11
322;"MICROBIOLOGIA APLICADA";11
323;"MICROBIOLOGIA BASICA";11
324;"MICROBIOLOGIA MEDICA";11
325;"PESQUISA EM BIOFISICA";11
326;"PESQUISA EM BIOLOGIA MOLECULAR";11
327;"PESQUISA EM IMUNOLOGIA";11
328;"PESQUISA EM MICROBIOLOGIA";11
329;"REDAÇÃO CIENTÍFICA";11
330;"TECNOLOGIA DE BIOPROCESSOS E FERMENTAÇÃO";11
331;"TECNOLOGIA ENZIMÁTICA";11
332;"TOPICOS EM BIOQUIMICA 1";11
333;"TÓPICOS EM MICROBIOLOGIA";11
334;"VIROLOGIA GERAL COMPARADA";11
335;"ANATOMIA DAS MADEIRAS";12
336;"BOTÂNICA EM CAMPO";12
337;"CULTURA DE TECIDOS DE PLANTAS";12
338;"DIVERSIDADE VEGETAL";12
339;"ESTAGIO EM BOTANICA";12
340;"ESTAGIO EM ESTRUTURA MACRO E MICROSCOPICA DA MADEIRA";12
341;"ESTAGIO EM TECNICAS DE HERBARIO";12
342;"FISIOLOGIA VEGETAL";12
343;"INTRODUCAO A ANATOMIA VEGETAL";12
344;"METABOLISMO E DESENVOLVIMENTO VEGETAL";12
345;"MORFOLOGIA E TAXONOMIA DAS CRIPTOGAMAS";12
346;"ORGANOGRAFIA E SISTEMÁTICA FANEROFÍTICA";12
347;"PESQUISA EM FISIOLOGIA VEGETAL";12
348;"TÓPICOS EM BOTÂNICA 1";12
349;"VEGETACAO DO CERRADO";12
350;"ALGORITMOS E PROGRAMAÇÃO DE COMPUTADORES";13
351;"ARQUITETURA DE PROCESSADORES DIGITAIS";13
352;"AUTÔMATOS E COMPUTABILIDADE";13
353;"BANCOS DE DADOS";13
354;"CIRCUITOS LÓGICOS";13
355;"COMPUTAÇÃO EXPERIMENTAL";13
356;"DESENVOLVIMENTO DE APLICATIVOS";13
357;"ENGENHARIA DE SOFTWARE";13
358;"ESTRUTURAS DE DADOS";13
359;"ESTUDOS EM COMPUTACAO MULTIMIDIA";13
360;"ESTUDOS EM INTELIGENCIA ARTIFICIAL";13
361;"ESTUDOS EM SISTEMAS DE COMPUTACAO";13
362;"ESTUDOS EM SISTEMAS DE INFORMACAO";13
363;"FORMAÇÃO DOCENTE EM COMPUTAÇÃO";13
364;"FUNDAMENTOS DE SISTEMAS INTELIGENTES";13
365;"FUNDAMENTOS TEÓRICOS DA COMPUTAÇÃO";13
366;"INFORMATICA APLICADA A EDUCACAO";13
367;"INFORMATICA E SOCIEDADE";13
368;"INTRODUCAO A CIENCIA DA COMPUTACAO";13
369;"INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO";13
370;"INTRODUCAO A INTELIGENCIA ARTIFICIAL";13
371;"INTRODUCAO A MICROINFORMATICA";13
372;"INTRODUÇÃO A SISTEMAS OPERACIONAIS";13
373;"INTRODUÇÃO AO DESENVOLVIMENTO DE JOGOS";13
374;"INTRODUCAO AO PROCESSAMENTO DE IMAGENS";13
375;"INTRODUÇÃO AOS SISTEMAS COMPUTACIONAIS";13
376;"LABORATÓRIO DE CIRCUITOS LÓGICOS";13
377;"LINGUAGENS DE PROGRAMACAO";13
378;"LÓGICA COMPUTACIONAL 1";13
379;"METODOLOGIA CIENTÍFICA";13
380;"MÉTODOS DE PESQUISA NA LICENCIATURA EM COMPUTAÇÃO";13
381;"MÉTODOS DE PROGRAMAÇÃO";13
382;"MODELAGEM DE SISTEMAS COMPUTACIONAIS E DE REDES";13
383;"MODELAGEM ORIENTADA A OBJETOS";13
384;"ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES";13
385;"PRÁTICA PEDAGÓGICA EM COMPUTAÇÃO 1";13
386;"PRÁTICA PEDAGÓGICA EM COMPUTAÇÃO 2";13
387;"PRÁTICAS EM COMPUTAÇÃO";13
388;"PRINCÍPIOS DE VISÃO COMPUTACIONAL";13
389;"PROCESSAMENTO EM TEMPO REAL";13
390;"PRODUÇÃO DE MATERIAL DIDÁTICO";13
391;"PROGRAMACAO AVANCADA";13
392;"PROGRAMAÇÃO COMPETITIVA";13
393;"PROGRAMAÇÃO CONCORRENTE";13
394;"PROJETO DE LICENCIATURA";13
395;"PROJETO DE LICENCIATURA 1";13
396;"PROJETO DE LICENCIATURA 2";13
397;"PROJETO E ANÁLISE DE ALGORITMOS";13
398;"PROJETO INTERDISCIPLINAR DE LICENCIATURA EM COMPUTAÇÃO";13
399;"REDES DE COMPUTADORES";13
400;"SEGURANÇA COMPUTACIONAL";13
401;"SINAIS E SISTEMAS";13
402;"SISTEMAS A MICROPROCESSADORES";13
403;"SISTEMAS DE INFORMACAO";13
404;"SISTEMAS OPERACIONAIS";13
405;"SOFTWARE BASICO";13
406;"SUPERVISÃO DE PRÁTICA PEDAGÓGICA EM COMPUTAÇÃO 1";13
407;"SUPERVISÃO DE PRÁTICA PEDAGÓGICA EM COMPUTAÇÃO 2";13
408;"SUPERVISÃO DE PRODUÇÃO DE MATERIAL DIDÁTICO";13
409;"TECNICAS DE PROGRAMAÇÃO 1";13
410;"TECNICAS DE PROGRAMAÇÃO 2";13
411;"TELEINFORMÁTICA E REDES 1";13
412;"TELEINFORMÁTICA E REDES 2";13
413;"TEORIA DA COMPUTACAO";13
414;"TEORIA E APLICAÇÃO DE GRAFOS";13
415;"TEORIA E PRATICA PEDAGOGICA EM INFORMATICA 1";13
416;"TEORIA E PRATICA PEDAGOGICA EM INFORMATICA 2";13
417;"TOPICOS AVANCADOS EM COMPUTADORES";13
418;"TOPICOS ESPECIAIS EM INFORMATICA NA EDUCACAO";13
419;"TRABALHO DE GRADUACAO";13
420;"TRABALHO DE GRADUAÇÃO 1";13
421;"TRABALHO DE GRADUAÇÃO 2";13
422;"TRADUTORES";13
423;"TRANSMISSÃO DE DADOS";13
424;"ANATOMIA ANIMAL";14
425;"BASES BIOLÓGICAS DA REPRODUÇÃO EM MAMÍFEROS";14
426;"ELEMENTOS DE FISIOLOGIA 1";14
427;"ELEMENTOS DE FISIOLOGIA 2";14
428;"FISIOLOGIA";14
429;"FISIOLOGIA ANIMAL 1";14
430;"FISIOLOGIA ANIMAL 2";14
431;"PESQUISA EM NEUROBIOLOGIA";14
432;"PESQUISA EM REPRODUÇÃO ANIMAL";14
433;"PESQUISA EM TOXINOLOGIA";14
434;"PRINCÍPIOS EM FARMACOLOGIA";14
435;"TOPICOS EM BIOQUIMICA 1";14
436;"VENENOS ANIMAIS";14
437;"ASSESSORIA E CONSULTORIA EM COMUNICAÇÃO";15
438;"AVALIAÇÃO EM PROJETOS DE COMUNICAÇÃO";15
439;"CRIAÇÃO EM COMUNICAÇÃO E PUBLICIDADE";15
440;"ÉTICA, LEGISLAÇÃO E RESPONSABILIDADE SOCIAL";15
441;"FORMATAÇÃO E GERENCIAMENTO DE PROJETOS EM COMUNICAÇÃO";15
442;"GESTÃO EM COMUNICAÇÃO";15
443;"GESTÃO ESTRATÉGICA PARA A SOCIEDADE";15
444;"INSTRUMENTO DA COMUNICAÇÃO ORGANIZACIONAL";15
445;"INTRODUÇÃO AO MARKETING";15
446;"INTRODUÇÃO AO PLANEJAMENTO";15
447;"INTRODUÇÃO AS TEORIAS DA COMUNICAÇÃO";15
448;"LINGUAGENS DA COMUNICAÇÃO 1";15
449;"LINGUAGENS DA COMUNICAÇÃO 2";15
450;"METODOLOGIA DE PESQUISA EM COMUNICAÇÃO";15
451;"PESQUISA EM OPINIÃO E MERCADO";15
452;"PLANEJAMENTO E GESTÃO EM MARKETING";15
453;"PLANEJAMENTO E GESTÃO EM ORG PÚBLICAS, PRIVADAS E DO TERCEIRO SETOR";15
454;"PLANEJAMENTO E GESTÃO EM WEB";15
455;"PLANEJAMENTO EM COMUNICAÇÃO";15
456;"PLANEJAMENTO GRÁFICO, VISUAL E WEB";15
457;"POLÍTICAS DE COMUNICAÇÃO, SOCIEDADE E CIDADANIA";15
458;"PRÉ-PROJETO DE TCC";15
459;"PRODUÇÃO E EDIÇÃO DE IMAGEM E SOM";15
